message
Invalid pattern '\u{1D306}' at offset 3. Insufficient hexadecimal digits.
            \""?(?P<name>.*?)\""?$
            ' at offset 49. Unrecognized grouping construct."
Invalid pattern '0x\h+' at offset 4. Unrecognized escape sequence \\h.
Object reference not set to an instance of an object.
Invalid pattern '\Q$model_name\E$' at offset 2. Unrecognized escape sequence \\Q.
Object reference not set to an instance of an object.
Invalid pattern '(?$o)$qmkey' at offset 3. Unrecognized grouping construct.
Invalid pattern '^(?<modifier>' at offset 13. Not enough )'s.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Invalid pattern '(?: \x{5d} | \x{5e} ) .*' at offset 7. Insufficient hexadecimal digits.
Invalid pattern '\$(?P<var_name>\w+)' at offset 5. Unrecognized grouping construct.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Invalid pattern '^((?:' at offset 5. Not enough )'s.
Object reference not set to an instance of an object.
Invalid pattern '(?P<name>[^-]+)( -(?P<ver>[^-]+) (-py(?P<pyver>[^-]+) (-(?P<plat>.+))? )? )?' at offset 3. Unrecognized grouping construct.
"Invalid pattern '(?P<major>[\d]+).(?P<minor>[\d]+).(?P<patch>[\d]+)-(?P<commitCount>[\d]+)-(g)?(?P<hash>[0-9a-f]{5,40})' at offset 3. Unrecognized grouping construct."
Object reference not set to an instance of an object.
Invalid pattern '(?:\p{L}|\p{Digit}|[-._~%!$&*+;:@])+' at offset 18. Unknown property 'Digit'.
Object reference not set to an instance of an object.
Invalid pattern '\N{U+00A0}$' at offset 2. Unrecognized escape sequence \\N.
Invalid pattern '\\[([a-zA-Z]):([0-5]):([0-9]+)(:[0-9]+)?\\]' at offset 13. Too many )'s.
Object reference not set to an instance of an object.
Invalid pattern '\d++(\.)\d++(([eE][\+\-])?\d++)?' at offset 4. Nested quantifier '+'.
Invalid pattern '[^\w\.\_]+' at offset 8. Unrecognized escape sequence \\_.
Object reference not set to an instance of an object.
Invalid pattern '(?:<[\/A-DF-Z][^>]*>)+([Aa])<\/[A-DF-Z]> (?:<[\/A-DF-Z][^>]*>)+(l\x{e1}n)<\/[A-DF-Z]>' at offset 68. Insufficient hexadecimal digits.
Invalid pattern '\x{2018}' at offset 3. Insufficient hexadecimal digits.
"Invalid pattern '

                \?
                (q?)                        # $1

                (                           # $2
                    sub \s*
                    (                       # $3
                        \s*

                        \{
                            (               # $4
                                (?: (?> ' at offset 342. Not enough )'s."
Invalid pattern ' \N{GREEK CAPITAL LETTER TAU}         ' at offset 3. Unrecognized escape sequence \\N.
"Invalid pattern '${\join '|', keys %direm}' at offset 4. Unrecognized escape sequence \\j."
Invalid pattern '^\Q$podRoot\E.' at offset 3. Unrecognized escape sequence \\Q.
Invalid pattern '\A[ \t]*(?:(?<field>\S+)[ \t]+){4}\g<field>[ \t]*\z' at offset 36. Unrecognized escape sequence \\g.
Invalid pattern 'play\s.*artist\s(called\s|named\s)?(?P<artist>(\w|\s)*)' at offset 38. Unrecognized grouping construct.
Object reference not set to an instance of an object.
Invalid pattern '\'[A-z0-9\:\!\%\^\&\*\_\-\+\=\|\?\\\/\>\<\~\.]+' at offset 23. Unrecognized escape sequence \\_.
"Invalid pattern '(\<cds.JOURNAL(?P<ibid>ibid)?\>([^\<]+)\<\/cds.JOURNAL(?:ibid)?\>\s*.?\s*([A-H]|(I{1,3}V?|VI{0,3}))\s+:)' at offset 17. Unrecognized grouping construct."
"Invalid pattern '
            (?: ^ | (?<= [\{[(;] ) )
              \s*
                (?<source> $expression )
                  \s*  ==+>(?<push> >?+ )(?<merge> [<>]?+ )  \s*
                (?<action> $expression )
              \s*
            (?= ==+>+ | [\}\]);] | $ )
        }' at offset 136. Nested quantifier '+'."
Object reference not set to an instance of an object.
Invalid pattern '[^0-9\-' at offset 7. Unterminated [] set.
Object reference not set to an instance of an object.
Invalid pattern '^traefik\.(?P<segment_name>.+?)\.(?P<property_name>port|portIndex|portName|weight|protocol|backend|frontend\.(.+))$' at offset 13. Unrecognized grouping construct.
Invalid pattern '(^|[\s>])(@' at offset 11. Not enough )'s.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Invalid pattern '\.propTypes = ({[^]+?\n\})' at offset 26. Unterminated [] set.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
"Invalid pattern '(<S>(?:[Aa][grs]|[Cc]huig|[Dd][eo]|[Ff]aoi|[Gg]an|[Gg]o|[Ll]e|[\x{d3}\x{f3}]|[Ii]n?|[Rr]oimh|[Tt]har|[Tt]r\x{ed}d?|[Uu]m)<\/S> <D>[^<]+<\/D> <E[^>]*>(?:<N[^>]*gnt=""d""[^>]*>[^<]+<\/N>)<\/E>)' at offset 66. Insufficient hexadecimal digits."
Object reference not set to an instance of an object.
Invalid pattern '\:\:\_\:\:Proxy' at offset 6. Unrecognized escape sequence \\_.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
"Invalid pattern '^\((?P<h>[0-9.e+-]+),(?P<s>[+-]?1)\)$' at offset 6. Unrecognized grouping construct."
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Invalid pattern '(?i)[\u{10428}]' at offset 8. Insufficient hexadecimal digits.
Object reference not set to an instance of an object.
Invalid pattern '\A[\x0\x4\x1a]\Z' at offset 7. Insufficient hexadecimal digits.
Invalid pattern '\x{FF0D}' at offset 3. Insufficient hexadecimal digits.
Object reference not set to an instance of an object.
"Invalid pattern '(?x) ^
                \s+
                ( ?P<gmtoff>     \S+ )  \s+
                ( ?P<rulessave>  \S+ )  \s+
                ( ?P<format>     \S+ )  \s*
                ( ?P<year>       \S+ )? \s*
                ( ?P<month>      \S+ )? \s*
                ( ?P<day>        \S+ )? \s*
                ( ?P<time>       \S+ )? \s*
                (\#.*)?
            $ ' at offset 46. Quantifier {x,y} following nothing."
Object reference not set to an instance of an object.
Invalid pattern '(run) (' at offset 7. Not enough )'s.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Invalid pattern '^(?P<root>github\.com/([A-Za-z0-9_.\-]+/[A-Za-z0-9_.\-]+))(/[A-Za-z0-9_.\-]+)*$' at offset 4. Unrecognized grouping construct.
Invalid pattern '(?ix) (?<=^|;) \s* (proc) \s+ (' at offset 31. Not enough )'s.
Invalid pattern '[\u{20}-\u{7EE}]' at offset 4. Insufficient hexadecimal digits.
Object reference not set to an instance of an object.
Invalid pattern '^[a-zA-Z0-9\_\:]+$' at offset 13. Unrecognized escape sequence \\_.
Invalid pattern '\A\Q$request\E' at offset 4. Unrecognized escape sequence \\Q.
Object reference not set to an instance of an object.
"Invalid pattern '(?<=\A|\s)((?<!\\)\_{1,2})(\S+)\1(?=\z|\s)' at offset 20. Unrecognized escape sequence \\_."
Invalid pattern '(?$opts)$re' at offset 3. Unrecognized grouping construct.
Invalid pattern ':\s?(\W*' at offset 8. Not enough )'s.
Invalid pattern '[^<]*<(?P<email>[^@<>]+@[^@<>]+)>' at offset 9. Unrecognized grouping construct.
Invalid pattern '[\Q$signs\E]' at offset 3. Unrecognized escape sequence \\Q.
Object reference not set to an instance of an object.
Invalid pattern '^ \*\*\* (?P<tablename>.+?) \*\*\*$' at offset 12. Unrecognized grouping construct.
"Invalid pattern '\Q""\E' at offset 2. Unrecognized escape sequence \\Q."
"Invalid pattern '(?P<before>(.|
)*?)(?P<invisible>(<script(.|
)*?</script>|<style(.|
)*?</style>|<(.|
)*?>))' at offset 3. Unrecognized grouping construct."
Invalid pattern '(?=[A-Z])|\s*\_\s*|\s+' at offset 15. Unrecognized escape sequence \\_.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Invalid pattern '\x{94}' at offset 3. Insufficient hexadecimal digits.
Object reference not set to an instance of an object.
"Invalid pattern '
    ^(gh:|github:|https?://(www\.)?github.com/)
    (?P<repo>[^@]*)(@(?P<revision>.*))?$
    ' at offset 56. Unrecognized grouping construct."
Object reference not set to an instance of an object.
Invalid pattern '^\/.+?[\n\z]' at offset 11. Unrecognized escape sequence \\z.
Invalid pattern 'smartctl_-a_\.dev\.(?P<device>\w+)$' at offset 22. Unrecognized grouping construct.
Object reference not set to an instance of an object.
Invalid pattern '\Q$from_path\E' at offset 2. Unrecognized escape sequence \\Q.
Invalid pattern '(?<_1>~)(?<_2>\*)?(?<_3>\d++)?[~du\-#fsacl]' at offset 28. Nested quantifier '+'.
Object reference not set to an instance of an object.
"Invalid pattern 'div .*? data-ht=(?P<quote>[""'])(?P<data>.*?)(?P=quote)' at offset 19. Unrecognized grouping construct."
Object reference not set to an instance of an object.
"Invalid pattern '(?<![<>])(<S>[Tt]r\x{ed}<\/S> <V cop=""y"">(?:ba|ab|arbh)<\/V>)(?![<>])' at offset 21. Insufficient hexadecimal digits."
Invalid pattern '(?U)<.*>' at offset 3. Unrecognized grouping construct.
Object reference not set to an instance of an object.
Invalid pattern '(?xi) (?<=^|;) \s* (?:(' at offset 23. Not enough )'s.
Invalid pattern '^\+\+\+ (?P<file_path>.+)' at offset 11. Unrecognized grouping construct.
Invalid pattern '(?:^|(?<=\&))\Q$prefix\E-[^=]+=[^\&]*(\&|$)' at offset 15. Unrecognized escape sequence \\Q.
Invalid pattern '^[a-z0-9\_\-]+$' at offset 10. Unrecognized escape sequence \\_.
Invalid pattern '^\Q${axpart}\E' at offset 3. Unrecognized escape sequence \\Q.
Invalid pattern 'GMT(?P<signal>[+-])(?P<hours>\d{2}):?(?P<minutes>\d{2})' at offset 6. Unrecognized grouping construct.
Object reference not set to an instance of an object.
"Invalid pattern '(<E[^>]*><S>(?:[Dd][eo]n|[Ss]an?|[Ff]aoin|[\x{d3}\x{f3}]n)<\/S> <A pl=""n"" gnt=""n"">(?:g?[Cc]h?\x{e9}ad|[Dd]\x{e1}|[Dd]ara|[Uu]ile|[Mm]\x{ed}le)<\/A><\/E>)' at offset 46. Insufficient hexadecimal digits."
Invalid pattern '(?<![<>])(<S>[Ff]aoi<\/S> (?:<P[^>]*>[\x{c9}\x{e9}]<\/P>))(?![<>])' at offset 41. Insufficient hexadecimal digits.
Object reference not set to an instance of an object.
"Invalid pattern '(?<![<>])(<A pl=""n"" gnt=""n"">[Dd]h?\x{e1}<\/A> <[A-DF-Z][^>]*>m?[Bb]h?os<\/[A-DF-Z]>)(?![<>])' at offset 37. Insufficient hexadecimal digits."
Invalid pattern '(?<![<>])(<Y>'[Ss]\x{e9}<\/Y>)(?![<>])' at offset 21. Insufficient hexadecimal digits.
Invalid pattern '(?<=\()\p{Word}+( \p{Word}+)* · \d+(?=\))' at offset 15. Unknown property 'Word'.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
"Invalid pattern '(?<=""' at offset 5. Not enough )'s."
"Invalid pattern '\{(\$[A-Za-z0-9\_'\""\[\]]+)\}' at offset 17. Unrecognized escape sequence \\_."
Object reference not set to an instance of an object.
Invalid pattern '()<B><Z>(?:<[^>]+>)+<\/Z>([\x{d3}\x{f3}])<\/B>()' at offset 30. Insufficient hexadecimal digits.
Invalid pattern 'chown: missing operand after\s(?P<FILENAME>.*)|chown: cannot access (?P<FILENAME1>.*):\s*(?P<ERROR>.*)|chown: changing ownership of (?P<FILENAME2>.*):\s*(?P<ERROR1>.*)' at offset 33. Unrecognized grouping construct.
Object reference not set to an instance of an object.
Invalid pattern '(%\{' at offset 4. Not enough )'s.
Object reference not set to an instance of an object.
Invalid pattern '<(?!(\\s|\\/)*(' at offset 15. Not enough )'s.
Object reference not set to an instance of an object.
"Invalid pattern '^[0-9A-Za-z\-\_\,\ ]+$' at offset 15. Unrecognized escape sequence \\_."
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
"Invalid pattern '[uU]?(?P<q>['""]).*?(?<!\\)(?P=q)' at offset 8. Unrecognized grouping construct."
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Invalid pattern '(<E[^>]*><[A-DF-Z][^>]*>[Nn]\x{e1}<\/[A-DF-Z]> (?:<V[^>]*>at\x{e1}(?:i[dm]|imid|thar)?<\/V>)<\/E>)' at offset 31. Insufficient hexadecimal digits.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Invalid pattern ':(?P<sym>.*?)(?P<energy>-?\d*\.\d*) eV' at offset 4. Unrecognized grouping construct.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Invalid pattern '^\s*bdi\s+(?P<major>[0-9]+):(?P<minor>[0-9]+):\s*ino=(?P<ino>\S+)\s+index=(?P<index>\S+)' at offset 13. Unrecognized grouping construct.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
"Invalid pattern '(<E[^>]*>(?:<A[^>]*>r\x{e9}as\x{fa}nta<\/A>) <A pl=""n"" gnt=""n"">[^<]+<\/A><\/E>)' at offset 24. Insufficient hexadecimal digits."
"Invalid pattern '(?m)(?P<d>\d)\.0(?P<s>,?)$' at offset 7. Unrecognized grouping construct."
Invalid pattern '(?<AB>a)\2' at offset 10. Reference to undefined group number 2.
Object reference not set to an instance of an object.
Invalid pattern '(?:<[\/A-DF-Z][^>]*>)+([Aa]r)<\/[A-DF-Z]> (?:<[\/A-DF-Z][^>]*>)+(gc\x{fa}l)<\/[A-DF-Z]>' at offset 70. Insufficient hexadecimal digits.
"Invalid pattern '(<S>(?:[Dd][eo]n|[Ss]an?|[Ff]aoin|[\x{d3}\x{f3}]n)<\/S> <E[^>]*><N pl=""n"" gnt=""n"" gnd=""m"">[^<]+<\/N><\/E>)' at offset 38. Insufficient hexadecimal digits."
Invalid pattern '(^|[^\\](\\\\)*+)\\(?=/)' at offset 16. Nested quantifier '+'.
Object reference not set to an instance of an object.
Invalid pattern '\Q$bb_mark\E' at offset 2. Unrecognized escape sequence \\Q.
"Invalid pattern '(?<![<>])(<A pl=""n"" gnt=""n"">[Aa] h[Oo]cht<\/A> <N pl=""n"" gnt=""n"">[Dd]h\x{e9}ag<\/N>)(?![<>])' at offset 73. Insufficient hexadecimal digits."
"Invalid pattern '<iframe[^>]+?src=([""\'])(?P<url>https?://m(?:lb)?\.mlb\.com/shared/video/embed/embed\.html\?.+?)\1' at offset 27. Unrecognized grouping construct."
Invalid pattern '(?<![<>])(<Y>'t\x{e1}<\/Y>)(?![<>])' at offset 18. Insufficient hexadecimal digits.
Invalid pattern '((?:<[\/A-DF-Z][^>]*>)+[Aa]n<\/[A-DF-Z]> )<B><Z>(?:<[^>]+>)+<\/Z>(N\x{ed}l)<\/B>()' at offset 70. Insufficient hexadecimal digits.
Invalid pattern '^\Q$snips[0]' at offset 3. Unrecognized escape sequence \\Q.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
"Invalid pattern '(?<![<>])(<N pl=""y"" gnt=""n"" gnd=""m"">[Tt]h?r\x{ed}the<\/N>)(?![<>])' at offset 46. Insufficient hexadecimal digits."
Invalid pattern '(<E[^>]*><C>[Mm]\x{e1}<\/C> (?:<V[^>]*>[Ff]ua(?:ir(?:ea[md]ar)?|rthas)<\/V>)<\/E>)' at offset 19. Insufficient hexadecimal digits.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Invalid pattern '(?<![<>])((?:<N[^>]*>nd\x{e1}ir\x{ed}re<\/N>))(?![<>])' at offset 26. Insufficient hexadecimal digits.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Invalid pattern '^\c%$' at offset 4. Unrecognized control character.
Object reference not set to an instance of an object.
Invalid pattern '(?P<video>\$video(?P<env>.*?)\$endvideo)' at offset 3. Unrecognized grouping construct.
Invalid pattern '^\Q$build_town_kana\E(.+)\(.+$' at offset 3. Unrecognized escape sequence \\Q.
Object reference not set to an instance of an object.
Invalid pattern '([\x{1000}-\x{1021}])\x{103b}\x{1031}\x{103d}(\x{103e})?' at offset 5. Insufficient hexadecimal digits.
Invalid pattern '\A((?![ \t]*(\{|\n)|.*?\S.*?' at offset 28. Not enough )'s.
Invalid pattern ' \N{GREEK CAPITAL LETTER PI}          ' at offset 3. Unrecognized escape sequence \\N.
Invalid pattern 'Processing ((?:\w+::)*\w+)#(\w+)(?: to (\w+))? \(for (' at offset 54. Not enough )'s.
Object reference not set to an instance of an object.
Invalid pattern '^(?:que )?desmarco (?:' at offset 22. Not enough )'s.
Invalid pattern '{\$(?P<name>\w+)}' at offset 6. Unrecognized grouping construct.
Invalid pattern '(\d' at offset 3. Not enough )'s.
Object reference not set to an instance of an object.
Invalid pattern '^<(\w++:\/{2}[^ >]++)>' at offset 7. Nested quantifier '+'.
Invalid pattern '^ \Q$opts->{_recursion}{_base}$SL\E (.+) ' at offset 4. Unrecognized escape sequence \\Q.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
"Invalid pattern '(?<!?)?' at offset 5. Quantifier {x,y} following nothing."
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Invalid pattern '^(?P<length>[0-9a-fA-F]+)(;[^\r\n]+)?(\r\n|\r|\n)' at offset 4. Unrecognized grouping construct.
"Invalid pattern '{ _id: ""(?P<replSet>\S+)"", version: (?P<replSetVersion>\d+), (protocolVersion: (?P<replSetProtocol>\d+), )?members: (?P<replSetMembers>[^]]+ ])' at offset 11. Unrecognized grouping construct."
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Invalid pattern '(?<![<>])(<F>[Ff]h?in\x{ed}<\/F>)(?![<>])' at offset 24. Insufficient hexadecimal digits.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
"Invalid pattern '(?<![<>])(<D>[Tt]r\x{ed}n\x{e1}r<\/D> <A pl=""n"" gnt=""n"">dh\x{e1}<\/A> (?:<N[^>]*>(?:[aeiouAEIOU\x{e1}\x{e9}\x{ed}\x{f3}\x{fa}\x{c1}\x{c9}\x{cd}\x{d3}\x{da}cfptCFPT]|[Dd][^Tt']|[Gg][^Cc]|[Bb][^Pph]|[Bb]h[^fF])[^<]*<\/N>))(?![<>])' at offset 21. Insufficient hexadecimal digits."
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
"Invalid pattern 'P5/[\015\012]*$//; # Hack to remove all ""\r\n""s
      debug_recv $line if $debug_raw;
      # We record the time the last traffic from the server was seen, so we can
      # autoping the server if needed.
      $last_traffic = time;

      if($line ~~ rx' at offset 254. Not enough )'s."
Object reference not set to an instance of an object.
Invalid pattern '^[\_A-za-z]\w*$' at offset 4. Unrecognized escape sequence \\_.
Object reference not set to an instance of an object.
Invalid pattern '([\x00-\x1f\x{7f}-\x{ffff}])' at offset 14. Insufficient hexadecimal digits.
Object reference not set to an instance of an object.
Invalid pattern '\A[a-z0-9!' at offset 10. Unterminated [] set.
Object reference not set to an instance of an object.
Invalid pattern '(\/\/ @START@)[^]*(\/\/ @END@)' at offset 30. Unterminated [] set.
"Invalid pattern 'wgUserName=""\Q$self->{'username'}\E""' at offset 14. Unrecognized escape sequence \\Q."
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
"Invalid pattern '^(?P<seg_id>[A-Z][A-Z0-9]{1,2})?(\\[(?P<id_val>[A-Z0-9]+)\\])?(?P<ele_idx>[0-9]{2})?(-(?P<subele_idx>[0-9]+))?$' at offset 4. Unrecognized grouping construct."
Invalid pattern '\ORDER BY\s(?!.*\ORDER BY\s)' at offset 2. Unrecognized escape sequence \\O.
"Invalid pattern '(<[A-DF-Z][^>]*>[Nn]\x{e1}<\/[A-DF-Z]> <E[^>]*><V p=""y"" t=""coinn"">[Bb]einn<\/V><\/E>)' at offset 23. Insufficient hexadecimal digits."
Object reference not set to an instance of an object.
Invalid pattern '^\s+(?P<address>[0-9a-fA-F]+)\s+(?P<symbol>.*)\s+\((?P<module>.*)\)$' at offset 7. Unrecognized grouping construct.
Invalid pattern '(?:<[\/A-DF-Z][^>]*>)+([Nn]\x{ed})<\/[A-DF-Z]> (?:<[\/A-DF-Z][^>]*>)+(hansa)<\/[A-DF-Z]>' at offset 30. Insufficient hexadecimal digits.
Invalid pattern '\A\Q$magic\E\s*\z' at offset 4. Unrecognized escape sequence \\Q.
Invalid pattern '^[+-]?[0-9]++(?:[.][0-9]++)?$' at offset 13. Nested quantifier '+'.
Invalid pattern '\p{Upper}\K' at offset 11. Unrecognized escape sequence \\K.
Invalid pattern '\2' at offset 2. Reference to undefined group number 2.
Invalid pattern '(?=\P{sc=Cprt})\p{scx=Cprt}' at offset 9. Incomplete \\p{X} character escape.
Object reference not set to an instance of an object.
Invalid pattern '^\Q$root_dir' at offset 3. Unrecognized escape sequence \\Q.
Object reference not set to an instance of an object.
Invalid pattern '\<module[\s\S]*from '(?P<it>[\s\S]*)'\>' at offset 24. Unrecognized grouping construct.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Invalid pattern '(\u{66}|\u{000062})oo' at offset 4. Insufficient hexadecimal digits.
Object reference not set to an instance of an object.
Invalid pattern '/lib/rspec/(' at offset 12. Not enough )'s.
Invalid pattern '(?U:(<.*>))([\t\n\v\f\r ]+)(?U:(<.*>))' at offset 3. Unrecognized grouping construct.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Invalid pattern '^(\/\*[^]*?(?:\*\/|$))' at offset 22. Unterminated [] set.
Invalid pattern 'snapshot=(?P<data>\d+)' at offset 12. Unrecognized grouping construct.
Object reference not set to an instance of an object.
Invalid pattern '^\Q$answer\E' at offset 3. Unrecognized escape sequence \\Q.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Invalid pattern 'https?://tvthek\.orf\.at/pro(gram|file)/(?P<showtitle>[^/]+)/(?P<showid>[0-9]+)/(?P<episodetitle>[^/]+)/(?P<epsiodeid>[0-9]+)(/(?P<segmenttitle>[^/]+)/(?P<segmentid>[0-9]+))?' at offset 43. Unrecognized grouping construct.
Object reference not set to an instance of an object.
Invalid pattern '^duplicity-inc\.(?P<start_time>.*?)\.to\.(?P<end_time>.*?)\.vol(?P<num>[0-9]+)\.difftar($|\.)' at offset 19. Unrecognized grouping construct.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
"Invalid pattern '(?<![<>])(<N pl=""n"" gnt=""n"">[\x{c9}\x{e9}]ineacht<\/N>)(?![<>])' at offset 32. Insufficient hexadecimal digits."
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Invalid pattern '^@index\ *?\>\=\ *\@params. ?[a-zA-Z0-9\.\-\_]+$' at offset 45. Unrecognized escape sequence \\_.
Invalid pattern '(?P<ext>[A-Za-z0-9][A-Za-z0-9\-]*) ?' at offset 3. Unrecognized grouping construct.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Invalid pattern '^([a-zA-Z0-9\-\_\.]+\.(html|js|css|png|jpg|gif|svg))$' at offset 16. Unrecognized escape sequence \\_.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Invalid pattern '(?<=\))\s*+(\{)' at offset 11. Nested quantifier '+'.
Invalid pattern '\Q$/\E$' at offset 2. Unrecognized escape sequence \\Q.
Object reference not set to an instance of an object.
"Invalid pattern '<meta[^>]+property=""og:video""[^>]+content=""https?://embed\.5min\.com/(?P<id>[0-9]+)/?' at offset 72. Unrecognized grouping construct."
Object reference not set to an instance of an object.
Invalid pattern '^[a-z0-9]{200}+$' at offset 15. Nested quantifier '+'.
Invalid pattern '^\Q$curdir\E' at offset 3. Unrecognized escape sequence \\Q.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
"Invalid pattern 'who($curnick);
      debug ""Logged in to \""$servername\"" as \""$curnick\""."";
    });

    # Nick already used, so we permute our nick.
    .' at offset 82. Too many )'s."
"Invalid pattern '\A""executable"" from a conflicts with (?:' at offset 40. Not enough )'s."
Invalid pattern '\A(?:^\h*$)*^(\h*)\S' at offset 8. Unrecognized escape sequence \\h.
Invalid pattern '^(add|remove)\_deploy\_key$' at offset 15. Unrecognized escape sequence \\_.
Object reference not set to an instance of an object.
Invalid pattern '(?P<KEY>[^=]+)=(?P<VALUJE>.*)' at offset 3. Unrecognized grouping construct.
Object reference not set to an instance of an object.
"Invalid pattern 'Codec\s*:\s*([\w\_\-\\/\. ]+)
' at offset 18. Unrecognized escape sequence \\_."
Invalid pattern '\x{0637}\x{0651}' at offset 3. Insufficient hexadecimal digits.
Invalid pattern '\Q$entry_delim\E' at offset 2. Unrecognized escape sequence \\Q.
Invalid pattern '([^\\[]+)\\[' at offset 12. Unterminated [] set.
Object reference not set to an instance of an object.
Invalid pattern '\Z\\\M-Z' at offset 6. Unrecognized escape sequence \\M.
Invalid pattern '\__END__(\n|\Z)' at offset 2. Unrecognized escape sequence \\_.
Object reference not set to an instance of an object.
"Invalid pattern '([0-9???????????]+)??(?)' at offset 23. Quantifier {x,y} following nothing."
Invalid pattern '[\x{4e00}-\x{9fff}]' at offset 4. Insufficient hexadecimal digits.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Invalid pattern '[\Q$self->{quote_char}\E]' at offset 3. Unrecognized escape sequence \\Q.
Object reference not set to an instance of an object.
Invalid pattern '^[0-9a-zA-Z_\\-!]+$' at offset 16. [x-y] range in reverse order.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
"Invalid pattern '(<E[^>]*><A pl=""n"" gnt=""n"">[Ss]h?\x{e9}<\/A> (?:<N[^>]*>[^<]+<\/N>) (?:<A[^>]*>(?:[^<]+th?[ae]|c\x{e9}ad|cib\x{e9}|cos\x{fa}il|deich|dh\x{e1}|[Gg]ach|seacht|[Ss]eo|[Ss]in|tr\x{ed}|\x{fa}d|uile|[^<]+ [^<]+)<\/A>)<\/E>)' at offset 36. Insufficient hexadecimal digits."
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Invalid pattern 'ab\Kcd' at offset 4. Unrecognized escape sequence \\K.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Invalid pattern ' \N{GREEK SMALL LETTER THETA}         ' at offset 3. Unrecognized escape sequence \\N.
Object reference not set to an instance of an object.
"Invalid pattern ' (?| \b ( [IVX]+    ) \b 
         | \b ( [IVX]' at offset 4. Unrecognized grouping construct."
Object reference not set to an instance of an object.
Invalid pattern '18(#)[\da-hA-H]++' at offset 17. Nested quantifier '+'.
Invalid pattern '(\p{Katakana}|\p{Hiragana})' at offset 13. Unknown property 'Katakana'.
Invalid pattern 'Completed|Processed|Canceled\_Reversal' at offset 30. Unrecognized escape sequence \\_.
Invalid pattern '\p{IDS}' at offset 7. Unknown property 'IDS'.
Object reference not set to an instance of an object.
Invalid pattern '\Qadd_diary.pl\E' at offset 2. Unrecognized escape sequence \\Q.
Invalid pattern '(^|\s+)\Q$_\E($|\s+)' at offset 9. Unrecognized escape sequence \\Q.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
